Method,Trial,P10_Throughput,Avg_Throughput,Avg_Sleeping_Sectors,Avg_Energy_Efficiency
ALL-ON,0,5.158384625939202,12.46109252615779,0.0,1.0453873977380241
ALL-ON,1,4.305088069473004,11.798971598853841,0.0,1.034086123209386
ALL-ON,2,4.452453286937162,12.620638787809202,0.0,1.0106595577309352
ALL-ON,3,4.6191296533995105,12.080399170577996,0.0,1.016853956942258
ALL-ON,4,5.0598032891588804,12.682521470595612,0.0,1.0285005937274447
ALL-ON,5,4.859808141893556,12.468719096497388,0.0,1.083964935175386
ALL-ON,6,4.878550058897909,11.922930442461093,0.0,1.0743827803177244
ALL-ON,7,4.689117533339436,12.26595758656652,0.0,1.1017490165611954
ALL-ON,8,5.228923126559293,12.419405506886587,0.0,1.0966142014447455
ALL-ON,9,4.630328434790908,11.702941661280674,0.0,0.9435247293797978
ALL-ON,10,4.236343382720958,12.243254349352906,0.0,1.0383640886466217
ALL-ON,11,5.123656703023423,12.638743103803167,0.0,1.137440932664345
ALL-ON,12,4.3169930245659085,11.636105390970549,0.0,1.1294295929570461
ALL-ON,13,5.111437138031879,12.355709949366608,0.0,1.060790927681633
ALL-ON,14,5.006608021245837,12.356923742472931,0.0,1.0566044703717807
ALL-ON,15,5.250060535588491,12.21893489376359,0.0,1.1139005452135609
ALL-ON,16,4.955349346054117,11.75939968519817,0.0,0.8999515164946332
ALL-ON,17,4.235598722183555,12.469449764628255,0.0,1.1010418579951275
ALL-ON,18,4.060697181236195,12.146134186517516,0.0,1.0719555048021927
ALL-ON,19,4.994297970472444,12.715988061718578,0.0,1.1305417422277377
Liang et al.,0,0.6174134318837475,1.0753947979126395,88.77,1.3316012263614334
Liang et al.,1,0.4418680081387665,1.3478159651711132,87.8,1.3392945628315034
Liang et al.,2,0.30429203813430616,1.074391761515849,88.9,1.2990310226562645
Liang et al.,3,0.5155900916576772,1.1581484042880898,88.6,1.3124296713683123
Liang et al.,4,0.6573572627844889,1.4119613322295579,87.57,1.320246349319445
Liang et al.,5,0.5747128397398887,1.2468966682325286,88.12,1.377600397782951
Liang et al.,6,0.7478645283127247,1.663401617807247,86.44,1.364834372288108
Liang et al.,7,0.5517217551823504,1.199560004720006,88.33,1.3726438291822771
Liang et al.,8,0.4267219207690736,1.1804715859627368,88.39,1.3529584400805819
Liang et al.,9,0.45846236068889307,1.1253794229620568,88.72,1.2676535924801349
Liang et al.,10,0.5861423008694718,1.1303393282830094,88.57,1.3145538069326432
Liang et al.,11,0.6816436736145334,1.479344176938251,87.35,1.394383786733282
Liang et al.,12,0.4761037827854143,1.164089374984546,88.34,1.386123365525135
Liang et al.,13,0.6344331093432231,1.354859474755205,87.78,1.332004465547015
Liang et al.,14,0.5461980208078779,1.3369585497157266,87.75,1.3412477403126417
Liang et al.,15,0.6746668717547443,1.2629396062986313,88.02,1.3774514920077405
Liang et al.,16,0.2580329142997632,1.0815107217202515,88.9,1.2306145213157185
Liang et al.,17,0.5658539221492551,1.2474480991068078,88.18,1.3721845843922622
Liang et al.,18,0.4541977693321211,1.2288465200453893,88.26,1.3508648024070709
Liang et al.,19,0.4551027465189217,1.2040725402154167,88.37,1.3944471867632353
SM1,0,1.4323776273345665,5.475000084102171,70.08,1.3731008847846475
SM1,1,1.4271272271408144,5.202658340191729,72.65,1.3767469404269255
SM1,2,1.377498787390056,5.949971664197085,69.27,1.3451026013843386
SM1,3,1.2683310183499725,5.5161237873871185,71.01,1.3580147215784182
SM1,4,1.8051719886853865,7.327783961619994,62.15,1.3593115206190125
SM1,5,1.4365598236107484,5.985796339489912,69.55,1.4148713031852276
SM1,6,1.9924810798278734,6.4663000908345785,65.15,1.3929406587439275
SM1,7,1.7866485940243135,6.8683545216742425,65.11,1.415651068574671
SM1,8,1.9175784336974744,6.1304343153683405,67.0,1.393739065634015
SM1,9,1.4610705808835465,5.466349992436697,70.88,1.3139107058077932
SM1,10,1.3189451560074243,5.723735592412828,68.77,1.352481812743071
SM1,11,1.418976914982437,5.975216548406149,68.91,1.4303988824999774
SM1,12,1.1303826555240306,5.12234311174268,72.9,1.419758880916226
SM1,13,1.2361460807999343,5.85270275060368,69.87,1.369164585517879
SM1,14,1.8712615248115096,6.966811689800697,64.07,1.3848319953437391
SM1,15,1.5467078277215276,5.978333677183209,69.2,1.4187621415603773
SM1,16,1.456233987586882,5.700035068341906,69.37,1.2780474422995969
SM1,17,1.7169113087921855,6.490684677861816,66.76,1.4189688774593545
SM1,18,2.0785763272128017,6.686016958184072,65.27,1.391214243680042
SM1,19,1.1984072924163336,6.489885361011196,66.91,1.436524282716899
VDN,0,4.486655813419282,10.636821951516962,31.0,1.477174486376242
VDN,1,3.2233551744301288,9.820359559725706,31.0,1.4603395707491194
VDN,2,3.287318828746527,10.304764958468045,31.0,1.4236825132052033
VDN,3,3.8000308495450197,10.076983404494758,31.0,1.4351711404108958
VDN,4,4.331428479126464,10.767972197873542,31.0,1.4520998045950164
VDN,5,3.716232747454935,10.403733766190742,31.0,1.53006730069345
VDN,6,4.064599377809932,10.009773560346975,31.0,1.5170260130426374
VDN,7,4.037428984291699,10.543266991625702,31.0,1.557719415750188
VDN,8,4.081215761694922,10.529306245734539,31.0,1.549715893375289
VDN,9,3.9003930808927993,9.439962897900815,31.0,1.3279406208528142
VDN,10,3.519285390657446,10.296700451638863,31.0,1.4657869120950406
VDN,11,4.158670371838152,10.669041798861185,31.0,1.60670319746758
VDN,12,3.8144437103602598,9.99530040753536,31.0,1.5987133026832387
VDN,13,4.491850972313641,10.429857330926698,31.0,1.4990197065034445
VDN,14,3.942469563707683,10.211840072020003,31.0,1.4903376729740054
VDN,15,4.025260822293358,10.704622887538635,31.0,1.5764134610850926
VDN,16,4.234665552117673,10.10252494983881,31.0,1.270158550798589
VDN,17,3.2100277589066764,10.56277519872735,31.0,1.555201182331529
VDN,18,3.378942066444814,10.117209081145766,31.0,1.5136426203062359
VDN,19,3.7060560807660963,10.455819423510857,31.0,1.5954173034305583
